chr1	384	1874	0.016779
chr1	1913	3016	0.011786
chr1	3016	4119	0.011786
chr1	4124	6544	0.012397
chr1	6875	7777	0.009978
chr1	7839	8042	0.009852
chr1	8554	9822	0.018139
chr1	9856	10059	0.000000
chr1	10079	11620	0.017521
chr1	11584	12411	0.016929
chr1	12827	13066	0.033473
chr1	13393	15780	0.019271
chr1	16281	17048	0.015645
chr1	17062	17592	0.011321
chr1	17673	19727	0.023369
chr1	19724	20797	0.013979
chr1	20887	21441	0.010830
chr1	21438	22046	0.011513
chr1	22101	22988	0.016911
chr1	23116	23382	0.007519
chr1	23487	23963	0.018908
chr1	23942	24733	0.025284
chr1	24904	25554	0.030769
chr1	25623	26996	0.018937
chr1	27158	28465	0.026779
chr1	28462	29406	0.020127
chr1	29460	29966	0.029644
chr1	30120	31157	0.019286
chr1	31239	32354	0.017937
chr1	32432	32989	0.021544
chr1	33064	34041	0.014330
chr1	34144	35103	0.014599
chr1	35248	36072	0.019417
chr1	36079	36429	0.014286
chr1	36452	38023	0.015913
chr1	38082	39002	0.026087
chr1	39196	40704	0.013263
chr1	40818	41738	0.015217
chr1	41852	42754	0.019956
chr1	43264	44280	0.027559
chr1	44397	45290	0.023516
chr1	45666	46292	0.027157
chr1	46335	47078	0.014805
chr1	47136	48611	0.012203
chr1	48767	50203	0.011142
chr1	50279	51088	0.009889
chr1	51085	52299	0.015651
chr1	52431	53318	0.022548
chr1	53384	53599	0.032558
chr1	53568	54545	0.029683
chr1	54834	55418	0.008562
chr1	55440	56669	0.011391
chr1	56801	57262	0.015184
chr1	57456	57653	0.035533
chr1	58014	58418	0.012376
chr1	58676	59776	0.016364
chr1	60021	60566	0.018349
chr1	60559	61935	0.021076
chr1	62035	62934	0.010011
chr1	63025	63492	0.012848
chr1	63511	64047	0.011194
chr1	64112	64357	0.008163
chr1	64424	65188	0.018325
chr1	65245	66330	0.034101
chr1	66478	66969	0.014257
chr1	67246	68268	0.019569
chr1	68387	68491	0.009615
chr1	68488	68877	0.033419
chr1	68959	69951	0.029234
chr1	70146	72182	0.018664
chr1	72179	72769	0.020339
chr1	72762	74039	0.014879
chr1	74050	74352	0.016556
chr1	74394	74663	0.011152
chr1	74874	75902	0.029183
chr1	75954	77048	0.012797
chr1	77378	78259	0.013621
chr1	78315	79220	0.018785
chr1	79575	80999	0.017556
chr1	81012	81140	0.031250
chr1	81539	82615	0.020446
chr1	82746	84212	0.020464
chr1	84311	84943	0.026899
chr1	84963	85259	0.023649
chr1	85411	86229	0.019560
chr1	86390	87829	0.021543
chr1	88230	89219	0.018200
chr1	89247	89690	0.018059
chr1	89774	90718	0.016949
chr1	90823	91752	0.012917
chr1	91742	92383	0.007800
chr1	92811	93911	0.014545
chr1	93916	95499	0.004422
chr1	95510	96058	0.010949
chr1	96070	96966	0.016741
chr1	96973	97176	0.024631
chr1	97248	97979	0.017784
chr1	97954	98532	0.029412
chr1	98587	99633	0.026769
chr1	99653	100552	0.013348
chr1	100561	101193	0.018987
chr1	101463	102413	0.011579
